Domain,Role,Skills
Artificial Intelligence & Machine Learning,AI Researcher,"['Statistics', 'Reinforcement Learning', 'NLP','Mathematics', 'Statistics']"
Artificial Intelligence & Machine Learning,Data Scientist,"['Numpy', 'Python', 'Pandas', 'Machine Learning','Mathematics','Statistics']"
Artificial Intelligence & Machine Learning,DL Engineer,"['RNN', 'TensorFlow', 'CNN', 'Deep Learning', 'PyTorch']"
Artificial Intelligence & Machine Learning,AI Engineer,"['Transformers', 'Prompt Engineering', 'Deep Learning', 'Python', 'LLMs', 'TensorFlow']"
Artificial Intelligence & Machine Learning,DL Engineer,"['Deep Learning', 'PyTorch', 'RNN', 'CNN', 'TensorFlow']"
Artificial Intelligence & Machine Learning,ML Researcher,"['Statistics', 'Pandas', 'Model Evaluation', 'Numpy', 'Python', 'Matplotlib', 'Scikit-learn', 'NLP']"
Artificial Intelligence & Machine Learning,Data Scientist,"['Model Evaluation', 'Python', 'Machine Learning', 'Pandas', 'SQL', 'Feature Engineering']"
Artificial Intelligence & Machine Learning,ML Engineer,"['Machine Learning', 'Data Pipelines', 'Feature Engineering', 'ML Ops', 'Docker', 'Kubernetes']"
Artificial Intelligence & Machine Learning,ML Engineer,"['ML Pipelines', 'Kubernetes', 'TensorFlow', 'PyTorch', 'Docker']"
Artificial Intelligence & Machine Learning,DL Engineer,"['PyTorch', 'Deep Learning', 'RNN', 'CNN', 'TensorFlow']"
Artificial Intelligence & Machine Learning,ML Researcher,"['Python', 'Research Papers', 'Data Analysis', 'Pandas', 'NLP', 'Matplotlib', 'Scikit-learn', 'Numpy', 'Statistics', 'Model Evaluation']"
Artificial Intelligence & Machine Learning,ML Researcher,"['NLP', 'Pandas', 'Research Papers', 'Numpy', 'Python', 'Matplotlib', 'Statistics', 'Adaptability']"
Artificial Intelligence & Machine Learning,AI Engineer,"['Keras', 'Python', 'Data Preprocessing', 'CNN', 'PyTorch', 'Deep Learning', 'NLP']"
Artificial Intelligence & Machine Learning,AI Researcher,"['Statistics', 'NLP', 'Research', 'Reinforcement Learning','Deep Learning','Research Skills']"
Artificial Intelligence & Machine Learning,AI Researcher,"['GANs', 'Research', 'Transformer Models', 'Statistics']"
Artificial Intelligence & Machine Learning,ML Researcher,"['Matplotlib', 'Numpy', 'Research Papers', 'Pandas', 'Model Evaluation', 'Python', 'NLP', 'Statistics', 'Data Analysis', 'Scikit-learn']"
Artificial Intelligence & Machine Learning,ML Engineer,"['Docker', 'ML Pipelines', 'Kubernetes', 'TensorFlow', 'PyTorch']"
